Site,Unit,Upper,TT River,VT River,Canals,DN River,Lower*
Salinity,-,0.03,0.06,1.7,1.69,0.04,27.95
TSS,$mgL^{-1}$,49,54.9,67.7,50.8,68.8,83.5
Chl-a**,$\mugL^{-1}$,4.02,4.02,149.71,104.28,7.61,1.62
DSi ,$mgL^{-1}$,0.80***,2.84***,1.14,1.06,2.48,0.5
NO3-**,$mgL^{-1}$,0.4,0.5,0.71,0.45,0.39,0.7
NH4+ ,$mgL^{-1}$,0.23,0.29,3.36,2.06,0.1,0.01
PO43- ,$mgL^{-1}$,0.05,0.07,0.11,0.07,0.03,0.03
DO ,$mgL^{-1}$,5.02,4.2,1.66,2.32,4.16,5.34
TOC**** ,$mgL^{-1}$,3.58,3.85,13.66,12.41,3.86,3.21
* Lower boundary used the mean concentrations from 2008 – 2013,,,,,,,
** Mean concentrations 2016 – 2017,,,,,,,
*** Unpublished data from snapshot measurements 2019-2020,,,,,,,
"**** TOC was calculated based on BOD5. $ TOC=1.4\times{BOD}_5+0.6\ (R^2=0.67,n=87)$",,,,,,,
TT River is Thi Tinh River; VT River is Vam Thuat River; DN River is Dongnai River,,,,,,,
